"","EWS.T1","EWS.T2","EWS.T3","EWS.T4","EWS.T6","EWS.T7","EWS.T9","EWS.T11","EWS.T12","EWS.T13","EWS.T14","EWS.T15","EWS.T19","EWS.C8","EWS.C3","EWS.C2","EWS.C4","EWS.C6","EWS.C9","EWS.C7","EWS.C1","EWS.C11","EWS.C10","BL.C5","BL.C6","BL.C7","BL.C8","BL.C1","BL.C2","BL.C3","BL.C4","NB.C1","NB.C2","NB.C3","NB.C6","NB.C12","NB.C7","NB.C4","NB.C5","NB.C10","NB.C11","NB.C9","NB.C8","RMS.C4","RMS.C3","RMS.C9","RMS.C2","RMS.C5","RMS.C6","RMS.C7","RMS.C8","RMS.C10","RMS.C11","RMS.T1","RMS.T4","RMS.T2","RMS.T6","RMS.T7","RMS.T8","RMS.T5","RMS.T9","RMS.T3","RMS.T10","RMS.T11"
"491692",0.1367,0.4798,1.149,0.097,0.4396,0.4329,0.8614,0.1958,0.1059,2.6481,0.4299,0.3101,1.32,0.1618,0.071,0.0612,0.3528,0.1923,0.1801,0.2279,0.0624,0.1353,0.0906,0.1269,0.0885,0.1515,0.1595,0.101,0.1025,0.1043,0.0914,0.1885,0.1535,0.163,0.1327,0.1417,0.1483,0.2157,0.1266,0.1572,0.059,0.0518,0.1918,0.3208,0.8782,0.2131,0.1601,0.1725,0.0921,0.0867,0.4632,0.0869,0.9328,0.1431,2.2602,0.6598,2.6505,0.754,2.3653,0.4985,3.5075,0.4971,1.6122,1.5913
"756556",1.5486,0.7404,3.0397,0.891,1.9318,2.7511,1.619,1.5481,1.5821,7.254,1.3212,1.3982,0.4523,0.5913,0.3468,0.0495,1.0794,1.04,0.9385,0.4341,0.3563,0.4874,0.7594,0.2459,0.1501,0.1135,0.2132,0.1307,0.1209,0.1224,0.1815,0.2249,0.1503,0.2181,0.3231,1.2909,0.1076,0.1726,0.2651,0.6806,0.4154,0.1616,0.2794,0.1672,0.3877,0.385,0.5883,0.8865,0.1846,0.2485,0.4391,0.2208,1.0486,0.8097,6.5519,0.9934,4.4045,2.0813,3.5926,2.111,1.7313,0.9376,2.8598,4.5333
"868304",2.2954,0.5669,1.3705,3.806,4.1264,0.8568,1.7984,1.4026,1.2173,8.2478,1.9692,2.5982,1.0306,1.7996,0.2527,0.152,0.2325,1.024,0.9266,0.9412,0.2174,0.7016,0.717,5.6922,5.4986,5.5742,6.3424,2.6057,4.6451,3.7836,4.5371,0.2855,0.5492,0.4919,0.9275,1.1962,1.5254,0.4299,0.9911,0.9195,1.1112,1.2275,0.9492,0.06,0.9728,1.9792,1.5025,0.9575,0.336,0.3742,0.2133,1.2589,0.1995,3.0731,2.529,1.9517,1.0136,0.2878,3.3789,4.2851,2.0228,0.5389,1.2334,0.1954
"236034",0.3285,0.4359,0.1337,0.3973,1.1242,0.5336,1.2908,0.248,0.6692,0.8327,0.4274,0.5124,0.5703,1.9913,0.6111,0.8557,0.3921,2.5263,2.3824,1.1204,1.1625,1.9166,1.4017,1.247,1.5348,4.8219,5.0652,1.3734,0.4738,2.018,2.5652,0.9777,0.1719,0.2885,0.4267,0.3674,0.1056,0.4206,1.0056,0.4872,0.4614,0.5655,1.5283,1.1895,1.1011,1.5292,0.2979,0.9348,1.1231,0.9594,0.1267,0.9449,0.2942,0.9954,0.2222,0.5298,0.2041,0.647,0.8772,0.7424,0.7863,0.6256,0.1538,2.3798
"1469292",0.2869,0.4643,0.3192,0.7217,0.5506,0.4577,0.6279,0.4346,0.3162,0.2728,0.3707,0.4926,0.5667,0.4018,0.5566,0.7035,0.6272,0.4088,0.3902,0.193,0.8468,0.8422,0.2499,3.3775,0.628,2.005,2.1483,1.5248,0.9343,2.2477,1.83,0.6026,0.6479,0.691,0.0994,0.0597,0.1401,0.2319,0.2026,0.0789,0.1286,0.1407,0.1408,0.2068,0.2877,0.1623,0.1213,0.1774,0.4448,0.1254,0.4331,0.0959,0.3968,0.7036,0.2489,0.3922,0.1484,0.2349,0.217,0.3138,0.6465,0.5889,0.1554,0.2615
"767495",0.1056,0.1696,0.2349,0.1917,1.4688,0.5241,0.3582,0.3605,0.2327,0.7519,0.2581,0.2452,0.3797,0.1205,0.1687,0.2792,0.4621,0.4606,0.4415,0.2937,0.4396,0.2044,0.1779,0.1692,0.0873,0.1107,0.123,0.0812,0.0803,0.089,0.1122,0.1105,0.8149,0.4043,0.151,0.2449,0.414,0.1181,0.1188,0.0479,0.0654,0.0817,0.0814,0.8319,1.3381,0.9124,0.9182,0.624,0.821,0.5397,0.5542,0.5606,0.7357,0.3664,0.8812,0.6851,2.6209,0.6219,0.9049,0.6893,0.7309,0.3918,1.9855,0.4928
"377468",0.1697,0.2321,0.2743,0.5502,0.5469,0.3019,0.3458,0.3007,0.1482,1.1782,0.2757,0.1096,0.4031,0.1863,0.0654,0.0942,0.0723,0.1406,0.1292,0.0964,0.0721,0.0498,0.056,0.0732,0.0978,0.2785,0.1329,0.0711,0.1052,0.107,0.1315,0.1411,0.1339,1.2015,0.0403,0.0356,0.0718,0.6483,0.0897,0.0303,0.2148,0.17,0.2225,0.4417,1.0088,0.5267,1.495,0.2816,0.3864,0.1865,1.3849,0.3002,0.9331,1.9466,1.3508,0.7196,2.3023,0.7053,0.7105,0.5401,0.5408,0.6612,1.4256,0.4902
"207274",0.194,0.4714,2.1841,3.7481,0.4885,0.7248,1.0773,0.385,0.5931,7.5469,1.0521,0.6506,0.5789,0.1333,0.2279,0.1828,0.3018,0.1389,0.1286,0.0873,0.1581,0.1904,0.1053,0.0957,0.1363,0.1502,0.1687,0.1175,0.1868,0.167,0.3594,4.6865,3.7259,8.1168,0.0619,0.0285,1.795,0.247,0.2137,2.9331,0.9613,0.3676,5.2278,12.516,6.1381,11.377,9.4369,6.0778,4.8707,6.192,4.201,8.2434,4.5187,7.2283,8.1515,4.9996,12.051,18.985,10.672,9.8634,9.1282,6.4982,7.7822,32.66
"796613",0.4118,0.5939,0.7967,4.593,0.7386,0.3141,0.6591,0.3454,0.1999,0.7188,0.8249,0.3539,0.45,0.1809,1.2643,0.8346,0.2515,0.1225,0.1193,0.1452,0.2553,0.1337,0.1531,0.1092,0.2105,0.066,0.074,0.1321,0.142,0.1004,0.1614,0.1165,0.5219,0.2325,0.3433,0.0967,0.6219,0.1137,0.0868,0.0966,0.4387,0.6519,0.1639,0.0069,0.2289,0.0071,1.7247,0.102,0.093,1.3791,0.1795,0.3365,2.9883,0.8975,1.425,1.0058,1.8926,1.15,2.1732,1.7993,1.4832,1.0208,2.5074,0.3961
"1493527",0.6075,1.0762,1.0161,0.8731,0.5232,0.9,0.5556,1.3965,0.4635,0.2603,1.3675,1.566,1.4104,0.609,0.9145,2.3984,2.949,3.4759,3.5228,0.578,6.5227,0.1303,0.7702,1.4405,4.5994,0.9113,4.6627,4.7665,3.8432,3.7517,1.9692,1.7827,1.0462,0.3971,1.1466,2.346,1.0465,0.4196,1.641,0.7784,0.7833,2.6798,2.4109,2.8553,1.2868,1.5524,0.9577,0.9462,0.821,0.2121,1.4438,2.6626,3.1667,0.2326,0.4954,0.6616,0.6278,0.4331,0.6267,1.7964,0.7228,0.7632,2.1797,0.635
"280507",0.7437,0.9061,0.9168,0.5282,0.4707,0.5024,1.164,0.9041,0.5136,0.3945,0.5478,0.6255,0.9358,0.3117,0.7346,0.5162,1.9285,0.5886,0.542,0.7273,0.6609,0.2786,0.4961,0.7626,1.7124,1.4725,1.2518,1.6347,1.2452,1.5561,1.6794,1.3802,1.4896,1.0304,0.7219,0.5458,1.3511,1.0571,1.2936,0.6765,0.7302,1.4,0.8124,0.5368,0.6307,0.2581,0.3648,0.5612,0.3118,0.9534,0.2887,0.8334,1.0115,0.4408,0.3923,0.5712,0.3289,0.8345,0.5179,0.6865,0.9075,1.4272,0.2357,0.1104
"461425",0.3209,0.2904,0.2621,0.62,0.3475,0.3146,0.4926,0.4743,0.3676,0.3341,0.2705,0.2982,0.4264,0.1362,0.1846,0.2023,0.1818,0.305,0.2865,0.1691,0.1572,0.2441,0.2864,0.1528,0.1315,0.1804,0.145,0.2323,0.3365,0.268,0.24,0.1293,0.2864,0.306,0.1263,0.2128,0.2749,0.145,0.1567,0.1644,0.132,0.1793,0.1559,6.5592,0.9513,0.517,2.5995,0.8408,2.9841,0.3557,0.1557,0.918,0.2891,6.3943,4.1742,3.9608,0.8844,10.194,2.7497,3.0424,0.5915,1.5139,0.5408,0.5563
"163174",1.3598,0.8299,0.9196,1.9964,1.9023,1.2476,1.08,0.6503,0.9885,0.56,1.4991,1.2589,0.5572,0.566,3.7616,5.0767,2.569,1.9236,1.7886,1.0829,4.9011,0.5515,0.3821,2.1683,2.1589,4.5889,5.1189,1.2412,0.6848,1.9023,4.6372,1.2836,1.8686,1.265,0.8583,1.0844,1.0212,1.2506,1.8957,1.2331,1.2356,1.4768,1.494,0.3854,1.5094,0.4506,0.3324,0.6442,0.8149,0.9079,1.5014,0.9842,2.0148,0.506,0.5894,0.4542,0.6058,0.2255,1.5916,1.3105,0.5573,0.6332,0.7173,1.0385
"68977",0.2151,0.2423,0.3112,0.1954,0.3141,0.3065,0.5028,0.4778,0.4412,0.7637,0.5247,0.4847,0.5498,0.6401,0.1757,0.1013,0.2541,0.3583,0.358,0.409,0.0571,0.2135,0.3892,0.7768,0.4494,0.7267,0.8581,1.1068,1.2527,1.3662,1.1478,0.2137,0.3411,0.3995,0.2122,0.3713,0.3805,0.1328,0.3723,0.3636,0.3631,0.3486,0.247,0.3232,0.5084,0.3979,0.3275,0.6217,0.4761,0.2931,0.1245,0.179,0.2386,0.3306,0.528,0.2429,0.4199,0.3839,0.3413,0.3789,0.611,0.1499,0.4746,0.1873
"769657",0.55,0.416,0.4549,0.5229,0.5118,0.6068,0.5677,0.6328,0.3667,0.5771,0.8473,0.4232,0.7639,0.3639,0.5706,0.4333,0.7357,0.4163,0.4,0.5711,0.4111,0.1804,0.2219,3.3559,1.9653,0.737,0.769,2.3669,2.0486,2.0914,0.6821,0.6598,0.4581,0.3253,0.37,0.4088,0.492,0.2743,0.6544,0.497,0.361,0.485,0.3701,0.506,0.6414,0.2172,0.2569,0.7104,0.5407,0.3699,0.2773,0.4441,0.7062,0.3603,0.7394,0.4695,0.6882,0.5274,0.4869,0.4513,0.8975,0.3089,0.6407,0.4547
"42558",0.2917,0.4001,0.192,0.1393,0.7456,0.5005,0.3504,0.2646,0.8892,0.3392,0.194,0.1682,0.2893,0.1318,0.3953,0.2557,1.0791,0.2953,0.2703,0.1021,0.0491,0.2746,0.0769,0.2598,0.0591,0.4332,0.0883,0.0812,0.5811,1.3598,0.1703,0.0958,0.1284,0.1961,0.0283,0.4001,0.0839,0.1333,0.0583,0.1391,0.0279,0.1291,0.0822,1.538,1.2906,0.2201,0.7082,0.631,1.4309,0.6638,1.3629,1.9389,1.067,1.8259,1.6913,1.9094,1.9581,1.4125,1.2081,0.6057,0.4696,3.6108,0.2878,0.1649
"44975",0.2502,0.1603,0.2872,0.4772,0.7311,0.8976,0.5496,0.5101,0.7201,0.514,0.4777,0.295,0.6186,0.6969,0.4613,0.6888,0.5902,0.3238,0.2938,0.8374,0.2123,0.3607,0.218,1.6674,3.2721,2.2737,2.2037,0.3625,0.5707,0.9083,1.8827,0.8609,0.5323,0.5981,0.7769,1.6135,1.0335,0.9421,1.0537,1.5844,0.7519,0.8123,0.7736,1.6966,0.6676,0.2238,0.7216,2.1373,1.6199,0.5848,0.6437,0.5804,0.6871,0.3523,0.1348,0.1832,0.2553,0.2833,0.5741,0.4315,0.4595,0.1458,0.2905,0.2475
"45542",3.1622,0.9711,3.6953,2.8902,1.4708,2.0261,2.347,7.202,0.8278,8.8139,1.2832,2.7328,0.852,1.5707,0.2204,0.1408,2.5128,0.2234,0.2067,0.4645,0.2051,0.1487,0.3999,0.2491,0.2262,0.1025,0.1185,0.1037,0.172,0.096,0.1312,0.9309,0.1133,0.2023,0.4015,1.0905,0.4652,1.4112,0.5906,1.1114,1.0894,0.7433,0.3453,0.066,0.4144,0.2585,1.0074,1.3788,0.188,0.1609,3.451,0.2472,4.3032,2.2138,7.019,2.4781,12.791,4.6441,8.4026,1.3906,6.1468,5.5988,10.24,6.6551
"301122",0.2523,0.5564,1.0039,0.32,1.3502,0.6859,0.3744,0.4686,0.4256,2.183,0.5138,0.4151,1.0712,0.1085,0.4755,0.087,0.5598,0.315,0.3092,0.1451,0.1024,0.3872,0.5971,0.2433,0.1925,0.0869,0.154,0.1435,0.1513,0.1071,0.0899,0.0999,1.0389,0.2378,0.5047,0.1593,1.642,0.1928,0.2011,0.1117,0.3242,0.2596,0.0924,0.2026,1.9612,2.0744,3.0723,0.2929,0.2905,0.406,0.8254,1.0375,0.9354,0.2891,0.5014,0.6773,0.5526,0.9955,0.9604,5.0541,1.2279,0.5032,0.3037,0.1583
"245330",0.0493,0.0841,0.1129,0.1344,0.1365,0.1696,0.3195,0.2724,0.07,0.2995,0.2179,0.1634,0.1655,0.192,0.1116,0.096,0.1112,0.1131,0.1038,0.049,0.0493,0.1749,0.0866,0.1402,0.2329,0.1314,0.1643,0.0534,0.1092,0.0791,0.1799,0.4508,0.1779,0.2432,0.0462,0.0684,0.1714,0.1704,0.1855,0.1,0.0253,0.1126,0.248,0.257,0.9731,0.6294,0.0951,0.66,0.2507,0.3045,0.2245,0.1308,0.1458,1.6215,0.2969,1.1724,0.6231,0.7125,0.2908,1.6862,0.4863,0.9788,3.7097,10.596
"752652",0.1683,0.6781,0.432,0.3055,0.5627,0.4225,0.7838,0.3426,0.4685,0.7972,0.2845,1.0053,0.1428,0.345,0.3602,0.3032,0.5772,0.2769,0.2727,0.2881,0.243,0.2902,0.2268,0.1276,0.1298,0.1208,0.0834,0.0872,0.1189,0.1644,0.2337,0.1949,0.2601,0.5808,0.0573,0.1318,0.1103,0.3256,0.2797,0.6443,0.073,0.0854,0.0653,0.6175,0.7649,0.3023,0.1236,0.6579,0.7453,0.451,2.0568,0.1772,0.6783,1.1848,0.4203,2.0089,0.2779,0.665,1.2755,1.459,0.628,0.3661,1.8349,0.4101
"47475",0.824,0.9112,0.3791,0.1961,0.7654,0.9961,0.589,0.2356,0.3411,0.4818,0.4697,1.2083,1.819,0.3542,1.1227,1.1595,1.439,1.0086,0.9195,0.3668,0.7691,0.9364,0.7931,1.4794,2.1233,2.7471,2.3897,3.2741,3.5815,3.7493,4.8003,1.5764,0.5961,0.2425,1.0436,0.4928,0.7406,2.3049,0.5427,0.5725,0.9882,1.012,0.6481,0.4316,0.2873,0.1237,0.2109,0.1033,0.4881,0.1066,0.2521,0.0359,0.2931,1.0427,0.9227,0.9922,0.5988,0.7256,1.2261,0.8234,1.1605,0.2499,0.4747,0.1487
"767183",0.086,0.1757,0.1148,0.1902,0.2746,0.1328,0.4039,0.2217,0.1402,0.4107,0.1989,0.2065,0.2905,0.2034,0.2785,0.107,0.2015,0.5664,0.516,0.1507,0.0799,0.6439,0.1089,1.5769,1.2605,2.0804,1.9797,0.2545,0.4569,0.9805,2.1002,0.1817,0.1633,0.1776,0.094,0.0533,0.0653,0.1311,0.153,0.0776,0.0369,0.1167,0.0946,0.1577,0.3218,0.1568,0.0867,0.1798,0.1889,0.0955,0.1468,0.0852,0.3253,0.2194,0.1461,0.1796,0.3142,0.2565,0.42,0.3069,1.3342,0.1358,0.0987,0.5348
"41591",0.7076,1.5707,0.9538,0.9746,0.4069,1.5344,1.0146,0.5467,1.4226,0.6289,0.1913,1.2661,0.7908,0.6629,0.0628,0.0379,0.3986,0.6273,0.5994,0.4045,0.1214,0.0998,0.4282,0.1456,0.0554,0.0518,0.7097,0.0674,0.2123,0.0871,0.0685,0.0531,0.0959,0.0915,0.0097,0.3947,0.0379,0.032,0.0532,0.0224,0.0225,0.0622,0.0099,1.2409,1.138,0.7168,0.1364,1.4744,1.4607,0.9742,1.0535,0.6288,0.2733,1.0562,1.6735,0.623,2.7004,0.5425,0.5037,1.2848,0.5061,0.1364,3.3241,0.2501
"241412",0.3109,0.6175,0.3248,0.1131,0.4431,0.572,0.5746,0.3296,0.2182,0.2686,0.5757,0.2938,0.5537,0.2765,0.5712,0.6522,0.3901,0.2666,0.2445,0.1327,0.1542,0.1806,0.1043,1.1211,1.0641,1.4479,1.9277,4.4673,1.3899,3.2254,3.3181,0.3103,0.3646,0.4195,0.131,0.0967,0.1702,0.2355,0.1161,0.2577,0.18,0.1446,0.1497,0.3942,0.2579,0.2471,0.1216,0.187,0.1607,0.211,0.4336,0.124,0.5911,0.4743,0.5384,0.4524,0.472,0.3189,0.3242,0.3835,0.5546,0.2933,0.4776,0.1151
