,pakistan,irish,mexican,chinese,german,mediterranean,japanese,moroccan,southern_soulfood,belgium,austria,asian,southwestern,west-african,canada,caribbean,bangladesh,vietnamese,south-african,indian,east_asian,english_scottish,easterneuropean_russian,turkey,israel,iran,jewish,east-african,french,central_southamerican,western,middleeastern,thai,north-african,korean,eastern-europe,lebanon,netherlands,malaysia,philippines,indonesia,spanish_portuguese,scandinavian,greek,american,cajun_creole,african,switzerland,italian
austria,0.0,0.4961461819,0.0,0.0,0.574669187146,0.0,0.0,0.0,0.0,0.501431024614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580327134215,0.515881731347,0.0,0.0,0.0,0.0,0.0,0.485816736075,0.0,0.0,0.0,0.0,0.0,0.0,0.54019601124,0.0,0.595100707676,0.0,0.0,0.0,0.0,0.594565796484,0.0,0.0,0.0,0.0,0.566765063379,0.0
asian,0.0,0.0,0.0,0.761647230626,0.0,0.0,0.68624525747,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.549547312549,0.0,0.679606233411,0.0,0.536218289602,0.611705348512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714846870151,0.0,0.595062340714,0.0,0.0,0.0,0.0,0.545802425654,0.586332122813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
southwestern,0.0,0.0,0.789641461242,0.0,0.0,0.0,0.0,0.0,0.566158848041,0.0,0.0,0.0,1.0,0.0,0.0,0.652411966514,0.0,0.0,0.0,0.554008688932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736405666057,0.0,0.553162914227,0.0,0.576291899441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602272050844,0.0,0.0,0.0,0.610049888596,0.58002721297,0.0,0.0
west-african,0.550401252691,0.0,0.553289077904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524178446851,1.0,0.0,0.539038865668,0.0,0.0,0.0,0.535987482615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512200713194,0.0,0.0,0.0,0.568156822152,0.0,0.0,0.0,0.0,0.0,0.0,0.520341880342,0.0,0.0,0.0,0.0,0.517510221703,0.524509636705,0.0,0.0
canada,0.0,0.0,0.0,0.0,0.685170398645,0.0,0.0,0.0,0.72009393715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714075580988,0.68027925207,0.0,0.0,0.0,0.668176851179,0.0,0.70637404284,0.660817120623,0.731531416332,0.0,0.0,0.0,0.0,0.719464768488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895283515534,0.0,0.0,0.0,0.0
caribbean,0.0,0.0,0.680955576223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652411966514,0.0,0.628115413051,1.0,0.0,0.0,0.0,0.613812061722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733943444289,0.0,0.0,0.0,0.617969400429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680034812079,0.0,0.0,0.59570339039,0.636137707273,0.618233713902,0.0,0.0
bangladesh,0.606728538283,0.0,0.3846844274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38338381653,0.419230769231,0.0,0.0,1.0,0.0,0.403846153846,0.493700787402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433673469388,0.0,0.0,0.0,0.0,0.0,0.375859434683,0.0,0.0,0.0,0.0,0.424479166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388732394366,0.0,0.0
vietnamese,0.0,0.0,0.0,0.57526912664,0.0,0.0,0.530285809794,0.0,0.0,0.0,0.0,0.679606233411,0.496328065331,0.0,0.0,0.504321700556,0.0,1.0,0.0,0.0,0.533081941066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753347585299,0.0,0.525372175885,0.0,0.0,0.0,0.0,0.523928000203,0.548748270223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
south-african,0.0,0.0,0.0,0.0,0.492304863956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500351425225,0.0,0.0,0.0,1.0,0.520615796519,0.0,0.0,0.46835815047,0.0,0.0,0.0,0.0,0.488872403561,0.0,0.0,0.470220588235,0.0,0.0,0.473252804142,0.0,0.49204764971,0.0,0.0,0.547935103245,0.0,0.0,0.0,0.0,0.0,0.469697957179,0.0,0.0,0.0,0.0
indian,0.680520648482,0.0,0.575169610147,0.0,0.0,0.0,0.0,0.616551204383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613812061722,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613004076059,0.0,0.599254841674,0.596604772601,0.65185287164,0.0,0.0,0.0,0.0,0.647535949129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672613508744,0.0,0.0
east_asian,0.0,0.0,0.0,0.666987946565,0.0,0.0,0.664073586034,0.0,0.0,0.0,0.0,0.611705348512,0.0,0.0,0.0,0.0,0.0,0.533081941066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415496074424,0.0,0.502156281532,0.0,0.931388704384,0.0,0.0,0.0,0.0,0.526713645837,0.520177853059,0.0,0.0,0.0,0.0,0.433061281657,0.0,0.0,0.0
english_scottish,0.0,0.750309136987,0.0,0.0,0.750767291898,0.0,0.0,0.0,0.666344179662,0.0,0.0,0.0,0.0,0.0,0.714075580988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.715070330013,0.0,0.0,0.0,0.0,0.0,0.713742150777,0.0,0.659001355155,0.0,0.0,0.0,0.0,0.70698092307,0.0,0.0,0.0,0.0,0.0,0.0,0.754733182423,0.0,0.737738533173,0.0,0.0,0.0,0.0
easterneuropean_russian,0.0,0.681494293933,0.0,0.0,0.716993163356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68027925207,0.0,0.0,0.0,0.0,0.0,0.0,0.715070330013,1.0,0.0,0.0,0.0,0.682709483702,0.0,0.726663905129,0.0,0.690560529735,0.0,0.0,0.0,0.0,0.750937347311,0.0,0.0,0.0,0.0,0.0,0.0,0.685017665639,0.0,0.701118075355,0.0,0.0,0.0,0.0
turkey,0.0,0.0,0.0,0.0,0.0,0.52289568176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529349787713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.545797526724,0.0,0.0,0.0,0.541753748296,0.0,0.535153910648,0.0,0.546907098836,0.0,0.548541935484,0.0,0.0,0.0,0.0,0.0,0.560886685139,0.0,0.0,0.0,0.522872316687,0.0,0.0,0.542993047933
israel,0.0,0.0,0.0,0.0,0.46855772239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468967921897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465201642115,0.0,1.0,0.0,0.511517454286,0.0,0.0,0.0,0.463832960477,0.498642584077,0.0,0.4685822545,0.0,0.459361022364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.470984778694,0.0,0.451125312587,0.0,0.0
iran,0.492391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527530562347,0.0,0.0,0.0,0.518001854992,0.0,0.0,0.0,0.545797526724,0.0,1.0,0.0,0.528530443099,0.0,0.517203990169,0.0,0.538658997457,0.0,0.546661248815,0.0,0.0,0.51105804174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514755661502,0.0,0.0
jewish,0.0,0.0,0.0,0.0,0.669180428762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668176851179,0.0,0.0,0.0,0.0,0.0,0.0,0.644446839378,0.682709483702,0.0,0.0,0.0,1.0,0.0,0.683374812113,0.0,0.636797007525,0.611098766154,0.0,0.0,0.0,0.6416746993,0.0,0.0,0.0,0.0,0.0,0.0,0.616710129365,0.0,0.683916095508,0.0,0.0,0.0,0.0
east-african,0.499094905612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510167992927,0.0,0.534404167571,0.0,0.0,0.0,0.562731745579,0.0,0.0,0.0,0.506974890395,0.0,0.528530443099,0.0,1.0,0.0,0.506943489619,0.0,0.0,0.0,0.526162041412,0.0,0.0,0.0,0.0,0.544169611307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521206622817,0.0,0.0
french,0.0,0.0,0.0,0.0,0.652798291693,0.0,0.0,0.0,0.680126924963,0.0,0.0,0.0,0.0,0.0,0.70637404284,0.0,0.0,0.0,0.0,0.0,0.0,0.713742150777,0.726663905129,0.0,0.0,0.0,0.683374812113,0.0,1.0,0.0,0.678542063841,0.0,0.0,0.0,0.0,0.659018695417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741984450791,0.0,0.0,0.0,0.671028029118
central_southamerican,0.0,0.0,0.781053378683,0.0,0.0,0.0,0.0,0.0,0.619520048861,0.0,0.0,0.0,0.736405666057,0.0,0.660817120623,0.733943444289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702420156432,0.0,0.0,0.640564704917,0.622888768602,0.627307976366,0.0,0.629210532804
western,0.0,0.0,0.0,0.0,0.654939562133,0.0,0.0,0.0,0.676974137866,0.0,0.0,0.0,0.0,0.0,0.731531416332,0.0,0.0,0.0,0.0,0.0,0.0,0.659001355155,0.690560529735,0.0,0.0,0.0,0.636797007525,0.0,0.678542063841,0.0,1.0,0.0,0.0,0.0,0.0,0.695130844817,0.0,0.0,0.0,0.0,0.0,0.0,0.619227452496,0.0,0.73739626742,0.0,0.0,0.0,0.0
middleeastern,0.0,0.0,0.0,0.0,0.0,0.71521122708,0.0,0.744388755086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611098766154,0.0,0.0,0.607331264951,0.0,1.0,0.0,0.720540511784,0.0,0.0,0.695048588616,0.0,0.0,0.0,0.0,0.649535559452,0.0,0.702355846851,0.0,0.0,0.742353332983,0.0,0.60985075398
thai,0.0,0.0,0.0,0.583226496376,0.0,0.0,0.510787090125,0.0,0.0,0.0,0.0,0.714846870151,0.516344634654,0.0,0.0,0.529643922824,0.0,0.753347585299,0.0,0.596604772601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.624069093918,0.0,0.583741586012,0.0,0.0,0.0,0.0,0.0,0.508384586168,0.0,0.0
north-african,0.60356321391,0.0,0.583534303249,0.0,0.0,0.605077628385,0.0,0.75766590003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.617969400429,0.0,0.0,0.0,0.65185287164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613719567087,0.0,0.720540511784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609838552214,0.0,0.0,0.0,0.0,0.783170426489,0.0,0.0
korean,0.0,0.0,0.39794645581,0.640533855748,0.0,0.0,0.6302854846,0.0,0.0,0.0,0.0,0.595062340714,0.0,0.0,0.0,0.0,0.0,0.525372175885,0.0,0.0,0.931388704384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497724689172,0.0,1.0,0.0,0.0,0.0,0.0,0.510599314564,0.502694968073,0.0,0.0,0.0,0.0,0.420367525143,0.0,0.0,0.0
eastern-europe,0.0,0.664357676772,0.0,0.0,0.761317531792,0.0,0.0,0.0,0.660292598904,0.0,0.0,0.0,0.0,0.0,0.719464768488,0.0,0.0,0.0,0.0,0.0,0.0,0.70698092307,0.750937347311,0.0,0.0,0.0,0.0,0.0,0.659018695417,0.0,0.695130844817,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667962300495,0.0,0.717708956583,0.0,0.0,0.0,0.0
lebanon,0.0,0.0,0.0,0.0,0.0,0.598250322961,0.0,0.549672100431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51105804174,0.0,0.0,0.0,0.52632828397,0.0,0.695048588616,0.0,0.579366211244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.550824793291,0.0,0.61089441373,0.0,0.0,0.553096080054,0.0,0.526747500632
netherlands,0.0,0.510482333969,0.0,0.0,0.618689346854,0.0,0.0,0.0,0.0,0.641488372093,0.595100707676,0.0,0.0,0.0,0.519619969429,0.0,0.0,0.0,0.0,0.0,0.0,0.614443905237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524716048283,0.0,1.0,0.0,0.0,0.0,0.0,0.610331203001,0.0,0.533903855198,0.0,0.0,0.564727108705,0.0
malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511106207708,0.0,0.0,0.0,0.559627039627,0.0,0.0,0.547935103245,0.647535949129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544169611307,0.0,0.50947202845,0.0,0.0,0.624069093918,0.530076175466,0.0,0.0,0.0,0.0,1.0,0.0,0.53112033195,0.0,0.0,0.0,0.0,0.0,0.52276816609,0.0,0.0
philippines,0.0,0.0,0.0,0.58580293875,0.0,0.0,0.545076307187,0.0,0.0,0.0,0.0,0.545802425654,0.0,0.0,0.562519987208,0.576699271348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.542887029289,0.546593892717,0.0,0.0,0.0,0.0,0.542233396701,0.0,0.0,0.0,1.0,0.604620891637,0.550527210718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indonesia,0.0,0.0,0.0,0.56812826849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586332122813,0.0,0.520341880342,0.0,0.535140200389,0.0,0.548748270223,0.0,0.0,0.520177853059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531597332487,0.0,0.0,0.583741586012,0.0,0.0,0.0,0.0,0.0,0.53112033195,0.604620891637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spanish_portuguese,0.0,0.0,0.61724560357,0.0,0.0,0.721597799382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680034812079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628818912356,0.702420156432,0.0,0.649535559452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.660642758224,0.0,0.643531474346,0.653249881682,0.0,0.700925493229
scandinavian,0.0,0.655176968607,0.0,0.0,0.727959999401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641636403072,0.0,0.0,0.0,0.0,0.0,0.0,0.754733182423,0.685017665639,0.0,0.0,0.0,0.616710129365,0.0,0.645875897828,0.0,0.619227452496,0.0,0.0,0.0,0.0,0.667962300495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.671719304499,0.0,0.0,0.0,0.0
greek,0.0,0.0,0.0,0.0,0.0,0.794910036403,0.0,0.602244666323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577868477123,0.565325396778,0.0,0.702355846851,0.0,0.559837499295,0.0,0.0,0.61089441373,0.0,0.0,0.0,0.0,0.660642758224,0.0,1.0,0.0,0.0,0.593646795132,0.0,0.665337523861
american,0.0,0.0,0.0,0.0,0.701814082092,0.0,0.0,0.0,0.745826700275,0.0,0.0,0.0,0.0,0.0,0.895283515534,0.0,0.0,0.0,0.0,0.0,0.0,0.737738533173,0.701118075355,0.0,0.0,0.0,0.683916095508,0.0,0.741984450791,0.0,0.73739626742,0.0,0.0,0.0,0.0,0.717708956583,0.0,0.0,0.0,0.0,0.0,0.0,0.671719304499,0.0,1.0,0.0,0.0,0.0,0.0
cajun_creole,0.0,0.0,0.61374799433,0.0,0.0,0.0,0.0,0.0,0.625194820188,0.0,0.0,0.0,0.610049888596,0.0,0.577331665181,0.636137707273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558413946772,0.622888768602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643531474346,0.0,0.0,0.56388364358,1.0,0.0,0.0,0.573664510625
african,0.0,0.0,0.0,0.0,0.0,0.634442447449,0.0,0.818882009657,0.0,0.0,0.0,0.0,0.58002721297,0.0,0.0,0.618233713902,0.0,0.0,0.0,0.672613508744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627307976366,0.0,0.742353332983,0.0,0.783170426489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653249881682,0.0,0.593646795132,0.0,0.0,1.0,0.0,0.0
switzerland,0.0,0.534185702035,0.0,0.0,0.654033932113,0.0,0.0,0.0,0.0,0.591273374889,0.566765063379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609906118485,0.598357483768,0.0,0.0,0.0,0.0,0.0,0.536630170443,0.0,0.0,0.0,0.0,0.0,0.0,0.594329567256,0.0,0.564727108705,0.0,0.0,0.0,0.0,0.589806882532,0.0,0.0,0.0,0.0,1.0,0.0
italian,0.0,0.0,0.0,0.0,0.0,0.706258852562,0.0,0.0,0.578832109814,0.0,0.0,0.0,0.0,0.0,0.616554983719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671028029118,0.629210532804,0.579313122363,0.60985075398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700925493229,0.0,0.665337523861,0.619310235428,0.0,0.0,0.0,1.0
